id,referencia,marca,capacidad,ciudad,responsable
3961,ACH-43,Rico,1870,La Guajira,Jhon Doe
4070,ACH-43,Kalley,387,Gold Cost,Alan Brito Delgado
3719,ACH-01,Rico,1264,La Guajira,Cindy Nero
9327,ACH-22,Sony,1568,Medellín,Alan Brito Delgado
2484,ACH-01,Kalley,230,Gold Cost,Cindy Nero
6749,ACH-01,Rico,419,Santa Fé,Jhon Doe
475,ACH-22,Rico,1143,Gold Cost,Santiago Norrea
2112,ACH-01,Sony,1770,Santa Fé,Alex Cremento
172,ACH-01,Rico,1997,Melbourne,Santiago Norrea
7893,ACH-43,Sony,170,Medellín,Alan Brito Delgado
6512,ACH-01,Sony,1022,Gold Cost,Alan Brito Delgado
1308,ACH-43,Rico,745,Santa Fé,Alex Cremento
1098,ACH-01,Sony,1321,Melbourne,Santiago Norrea
1515,ACH-43,Kalley,1408,Medellín,Jhon Doe
5728,ACH-01,Rico,958,Gold Cost,Jhon Doe
6242,ACH-01,Rico,651,Melbourne,Alan Brito Delgado
9945,ACH-22,Sony,1477,Santa Fé,Cindy Nero
9872,ACH-22,Kalley,1160,Melbourne,Jhon Doe
9752,ACH-22,Sony,1838,Medellín,Cindy Nero
2186,ACH-43,Rico,1461,Santa Fé,Cindy Nero
7510,ACH-22,Rico,732,La Guajira,Cindy Nero
706,ACH-43,Rico,273,Melbourne,Alan Brito Delgado
3013,ACH-01,Kalley,382,Santa Fé,Cindy Nero
6638,ACH-43,Kalley,1866,Medellín,Jhon Doe
3247,ACH-43,Kalley,608,Gold Cost,Jhon Doe
906,ACH-22,Sony,1777,Gold Cost,Alan Brito Delgado
8977,ACH-22,Kalley,638,Medellín,Alan Brito Delgado
8551,ACH-01,Sony,546,La Guajira,Alex Cremento
4326,ACH-22,Rico,1964,Gold Cost,Jhon Doe
3520,ACH-01,Sony,1931,Melbourne,Cindy Nero
8680,ACH-22,Sony,1406,Medellín,Cindy Nero
1702,ACH-01,Kalley,1135,Gold Cost,Cindy Nero
6988,ACH-01,Sony,175,Melbourne,Jhon Doe
8485,ACH-01,Rico,612,Medellín,Jhon Doe
808,ACH-01,Sony,1513,Gold Cost,Alex Cremento
976,ACH-01,Sony,1071,Santa Fé,Alan Brito Delgado
86,ACH-22,Sony,362,La Guajira,Alan Brito Delgado
6399,ACH-43,Sony,780,La Guajira,Alex Cremento
1704,ACH-43,Sony,1328,La Guajira,Alan Brito Delgado
4369,ACH-01,Kalley,1752,Medellín,Jhon Doe
8979,ACH-43,Sony,1036,La Guajira,Jhon Doe
3190,ACH-22,Sony,1059,Gold Cost,Jhon Doe
6598,ACH-01,Sony,1342,La Guajira,Alan Brito Delgado
9031,ACH-43,Rico,1050,La Guajira,Santiago Norrea
870,ACH-01,Sony,483,Medellín,Jhon Doe
5500,ACH-22,Kalley,399,Gold Cost,Alex Cremento
7192,ACH-01,Kalley,1468,Gold Cost,Alex Cremento
5507,ACH-01,Sony,1796,Medellín,Cindy Nero
2356,ACH-22,Rico,1841,La Guajira,Alex Cremento
5481,ACH-22,Rico,391,Melbourne,Alan Brito Delgado
2171,ACH-22,Sony,927,Medellín,Alan Brito Delgado
9023,ACH-01,Sony,372,Santa Fé,Jhon Doe
4724,ACH-22,Sony,1567,Santa Fé,Santiago Norrea
9098,ACH-01,Kalley,1465,Santa Fé,Alan Brito Delgado
7951,ACH-22,Kalley,893,Melbourne,Alex Cremento
1316,ACH-43,Sony,1753,Gold Cost,Santiago Norrea
5523,ACH-22,Sony,1347,Santa Fé,Santiago Norrea
8255,ACH-01,Rico,461,Gold Cost,Cindy Nero
8780,ACH-01,Kalley,1429,Medellín,Alex Cremento
506,ACH-22,Kalley,931,Santa Fé,Alex Cremento
4474,ACH-43,Sony,1575,Santa Fé,Jhon Doe
4244,ACH-01,Kalley,593,Gold Cost,Cindy Nero
6704,ACH-01,Rico,1209,Melbourne,Alex Cremento
2070,ACH-22,Sony,1568,Medellín,Alex Cremento
9430,ACH-43,Sony,986,Medellín,Alan Brito Delgado
7014,ACH-01,Sony,1109,La Guajira,Santiago Norrea
4184,ACH-01,Sony,1213,Santa Fé,Santiago Norrea
4459,ACH-43,Kalley,1540,La Guajira,Alex Cremento
2194,ACH-01,Sony,1326,La Guajira,Santiago Norrea
2758,ACH-22,Sony,847,Melbourne,Santiago Norrea
6328,ACH-43,Sony,719,La Guajira,Jhon Doe
5209,ACH-01,Rico,678,La Guajira,Santiago Norrea
6471,ACH-01,Sony,212,Santa Fé,Santiago Norrea
1333,ACH-22,Kalley,243,Gold Cost,Cindy Nero
1499,ACH-43,Rico,300,Santa Fé,Cindy Nero
5365,ACH-22,Kalley,353,Medellín,Cindy Nero
2866,ACH-43,Kalley,1567,Melbourne,Santiago Norrea
4120,ACH-01,Kalley,1604,Medellín,Jhon Doe
9392,ACH-01,Rico,1152,Santa Fé,Alex Cremento
4769,ACH-22,Rico,1494,Gold Cost,Cindy Nero
7345,ACH-43,Rico,287,Medellín,Cindy Nero
4067,ACH-01,Kalley,1372,Santa Fé,Alan Brito Delgado
2841,ACH-22,Rico,1141,Medellín,Alex Cremento
7931,ACH-01,Sony,729,Santa Fé,Santiago Norrea
6373,ACH-22,Kalley,903,Santa Fé,Cindy Nero
6084,ACH-22,Sony,1184,La Guajira,Cindy Nero
9751,ACH-22,Kalley,1037,Melbourne,Alan Brito Delgado
4831,ACH-22,Kalley,599,La Guajira,Alan Brito Delgado
1049,ACH-01,Kalley,290,Gold Cost,Alex Cremento
9996,ACH-43,Sony,918,Medellín,Cindy Nero
8220,ACH-43,Sony,583,Santa Fé,Cindy Nero
6174,ACH-22,Rico,1450,Gold Cost,Alex Cremento
700,ACH-43,Rico,863,Santa Fé,Alex Cremento
5455,ACH-01,Kalley,450,Melbourne,Cindy Nero
8040,ACH-22,Rico,404,Gold Cost,Alan Brito Delgado
367,ACH-01,Sony,1337,La Guajira,Alan Brito Delgado
2265,ACH-01,Kalley,292,Melbourne,Alex Cremento
9818,ACH-43,Kalley,829,Melbourne,Santiago Norrea
7515,ACH-22,Rico,172,Melbourne,Cindy Nero
3597,ACH-01,Sony,622,Medellín,Jhon Doe
5845,ACH-22,Kalley,1278,Gold Cost,Cindy Nero
4167,ACH-01,Sony,1829,Santa Fé,Alan Brito Delgado
4978,ACH-01,Rico,174,Santa Fé,Alan Brito Delgado
9632,ACH-01,Rico,368,La Guajira,Santiago Norrea
5024,ACH-43,Sony,122,La Guajira,Alan Brito Delgado
7423,ACH-43,Sony,856,Gold Cost,Alan Brito Delgado
8603,ACH-43,Rico,1816,Gold Cost,Cindy Nero
2971,ACH-43,Kalley,452,La Guajira,Jhon Doe
672,ACH-01,Rico,1602,Gold Cost,Jhon Doe
3269,ACH-43,Sony,1736,Santa Fé,Jhon Doe
6368,ACH-22,Sony,681,Melbourne,Jhon Doe
